x y s dx dy
959.228 1137.67 174.78 0.0897101 -0.995968
960.185 1137.76 175.742 0.0949933 -0.995478
961.142 1137.85 176.703 0.104456 -0.99453
962.098 1137.95 177.664 0.118098 -0.993002
963.051 1138.07 178.623 0.135912 -0.990721
964.001 1138.2 179.582 0.157859 -0.987462
964.947 1138.35 180.541 0.181655 -0.983362
965.89 1138.52 181.5 0.202082 -0.979369
966.83 1138.72 182.459 0.218431 -0.975852
967.766 1138.93 183.419 0.23075 -0.973013
968.701 1139.15 184.38 0.239082 -0.970999
969.634 1139.38 185.341 0.243464 -0.96991
970.567 1139.61 186.303 0.243919 -0.969796
971.5 1139.85 187.264 0.240448 -0.970662
972.433 1140.08 188.226 0.234035 -0.972228
973.368 1140.3 189.187 0.22823 -0.973607
974.303 1140.52 190.148 0.223834 -0.974627
975.24 1140.74 191.109 0.220853 -0.975307
976.176 1140.95 192.069 0.219292 -0.975659
977.113 1141.16 193.029 0.219154 -0.97569
978.05 1141.37 193.989 0.220439 -0.975401
978.986 1141.58 194.949 0.223147 -0.974785
979.921 1141.79 195.908 0.226902 -0.973918
980.856 1142.01 196.868 0.229635 -0.973277
981.79 1142.23 197.828 0.230638 -0.97304
982.723 1142.45 198.787 0.229911 -0.973212
983.657 1142.67 199.747 0.227454 -0.973789
984.592 1142.89 200.707 0.223266 -0.974758
985.529 1143.11 201.668 0.217347 -0.976094
986.467 1143.32 202.629 0.209695 -0.977767
987.407 1143.52 203.59 0.200811 -0.97963
988.35 1143.71 204.553 0.195113 -0.980781
989.295 1143.9 205.516 0.194901 -0.980823
990.24 1144.09 206.48 0.200193 -0.979756
991.183 1144.28 207.442 0.210992 -0.977488
992.122 1144.48 208.403 0.227292 -0.973827
993.057 1144.7 209.363 0.249064 -0.968487
993.985 1144.94 210.322 0.276234 -0.96109
994.905 1145.2 211.279 0.308263 -0.951301
995.816 1145.5 212.236 0.339265 -0.940691
996.716 1145.82 213.193 0.36489 -0.93105
997.609 1146.17 214.152 0.385165 -0.922848
998.495 1146.54 215.112 0.400242 -0.916409
999.376 1146.93 216.073 0.410258 -0.911969
1000.25 1147.32 217.036 0.415315 -0.909677
1001.13 1147.72 217.999 0.415468 -0.909608
1002.01 1148.12 218.963 0.410727 -0.911758
1002.88 1148.52 219.925 0.4028 -0.915288
1003.76 1148.91 220.887 0.395601 -0.918422
1004.65 1149.29 221.848 0.389684 -0.920948
1005.53 1149.66 222.809 0.385066 -0.922889
1006.42 1150.03 223.769 0.381758 -0.924262
1007.31 1150.4 224.729 0.379768 -0.925082
1008.19 1150.76 225.689 0.379102 -0.925355
1009.08 1151.13 226.648 0.379762 -0.925084
1009.97 1151.49 227.608 0.381609 -0.924324
1010.86 1151.86 228.568 0.383631 -0.923487
1011.74 1152.22 229.528 0.385368 -0.922763
1012.63 1152.59 230.488 0.38682 -0.922155
1013.51 1152.97 231.448 0.387988 -0.921664
1014.4 1153.34 232.409 0.388873 -0.921291
1015.28 1153.71 233.369 0.389474 -0.921037
1016.17 1154.09 234.33 0.389793 -0.920903
1017.05 1154.46 235.29 0.38983 -0.920887
1017.94 1154.83 236.251 0.389624 -0.920974
1018.82 1155.21 237.211 0.389229 -0.921141
1019.71 1155.58 238.171 0.388648 -0.921386
1020.59 1155.96 239.132 0.387881 -0.92171
1021.48 1156.33 240.092 0.386927 -0.92211
1022.36 1156.7 241.052 0.385786 -0.922588
1023.25 1157.07 242.012 0.384458 -0.923143
1024.13 1157.44 242.973 0.382942 -0.923772
1025.02 1157.81 243.933 0.381312 -0.924447
1025.91 1158.17 244.893 0.379862 -0.925043
1026.8 1158.54 245.853 0.378669 -0.925532
1027.69 1158.9 246.814 0.377733 -0.925915
1028.58 1159.26 247.774 0.377055 -0.926191
1029.46 1159.63 248.734 0.376634 -0.926362
1030.35 1159.99 249.695 0.376472 -0.926428
1031.24 1160.35 250.655 0.376567 -0.926389
1032.13 1160.71 251.615 0.376902 -0.926253
1033.02 1161.07 252.575 0.377293 -0.926094
1033.91 1161.44 253.536 0.377632 -0.925956
1034.8 1161.8 254.496 0.377918 -0.925839
1035.69 1162.16 255.456 0.378151 -0.925744
1036.58 1162.52 256.417 0.378332 -0.92567
1037.47 1162.89 257.377 0.378459 -0.925618
1038.36 1163.25 258.337 0.378534 -0.925587
1039.25 1163.61 259.298 0.378556 -0.925578
1040.14 1163.98 260.258 0.378528 -0.92559
1041.02 1164.34 261.218 0.378454 -0.92562
1041.91 1164.71 262.178 0.378332 -0.92567
1042.8 1165.07 263.139 0.378165 -0.925738
1043.69 1165.43 264.099 0.37795 -0.925826
1044.58 1165.79 265.059 0.37769 -0.925932
1045.47 1166.16 266.02 0.377382 -0.926058
1046.36 1166.52 266.98 0.377028 -0.926202
1047.25 1166.88 267.94 0.376697 -0.926337
1048.14 1167.24 268.901 0.376573 -0.926387
1049.03 1167.61 269.861 0.376688 -0.92634
1049.92 1167.97 270.821 0.377042 -0.926196
1050.81 1168.33 271.781 0.377635 -0.925955
1051.7 1168.69 272.742 0.378467 -0.925615
